valor_transacao,hora_transacao,dia_semana,qtd_transacoes_24h,tempo_desde_ultima_transacao_min,distancia_localizacao_km,idade_conta_dias,qtd_dispositivos_distintos,score_credito,renda_mensal_estimada,qtd_transacoes_mes,media_valor_transacao_30d,desvio_valor_media,mesmo_destinatario_recente,tipo_chave_pix,tentativas_senha_errada,usa_vpn,transacao_internacional,valor_acumulado_24h,razao_valor_renda,fraude
290.1,13,1,3,41.1,9.97,735,2,677.0,1529.77,29,220.58,0.31,0,3,1,0,0,629.85,0.19,0
11.27,12,1,4,176.42,1.13,777,2,696.0,5210.05,23,14.17,-0.19,0,3,0,0,0,15.01,0.0,0
13.96,14,2,4,154.28,1.61,663,2,663.0,1500.0,14,16.06,-0.12,1,3,0,0,0,28.02,0.01,0
848.0,20,6,3,15.67,1.92,389,1,720.0,5204.35,21,659.45,0.29,0,3,0,0,0,1991.29,0.16,0
27.06,14,4,3,209.57,9.23,845,3,787.0,1861.03,20,27.41,-0.01,1,3,0,0,0,58.92,0.01,0
170.9,8,0,4,,5.88,704,1,575.0,4414.57,25,133.79,0.28,1,2,1,0,0,224.83,0.04,0
113.87,7,0,5,66.0,7.46,665,2,612.0,6793.72,25,110.01,0.03,1,0,0,1,0,355.1,0.02,0
454.42,15,2,4,179.96,7.63,293,1,641.0,12953.73,27,383.88,0.18,1,0,0,0,0,804.12,0.04,0
24.57,17,4,6,284.91,1.42,853,1,,2207.96,29,29.8,-0.17,0,1,0,0,0,53.36,0.01,0
35.89,18,1,4,122.23,12.86,399,2,599.0,6941.79,29,18.35,0.91,0,3,0,0,0,43.16,0.01,0
47.45,8,3,2,32.21,4.37,528,1,795.0,1500.0,24,39.39,0.2,1,0,0,0,0,67.22,0.03,0
20.35,10,4,2,109.24,0.15,452,1,694.0,1500.0,19,16.02,0.25,0,0,0,0,0,20.19,0.01,0
66.29,9,1,3,305.5,22.27,307,1,572.0,3300.66,24,47.02,0.4,0,3,0,0,0,117.76,0.02,0
84.06,9,4,2,120.78,1.5,319,2,683.0,4106.08,28,97.93,-0.14,1,0,0,0,0,57.3,0.02,0
28.86,10,4,3,62.39,14.73,778,3,518.0,2985.51,23,28.19,0.02,0,0,0,0,0,31.17,0.01,0
69.05,16,4,6,33.09,11.3,869,1,672.0,,28,41.5,0.65,1,1,0,0,0,229.52,0.04,0
5.15,13,3,1,,2.18,295,2,775.0,7443.05,27,6.32,-0.16,1,1,0,0,0,3.87,0.0,0
108.82,6,2,3,154.15,4.39,519,1,572.0,7463.74,32,126.42,-0.14,0,0,0,0,0,236.95,0.01,0
87.43,8,2,3,160.84,1.53,531,1,709.0,3306.77,21,44.3,0.95,1,2,0,0,0,126.73,0.03,0
158.95,12,1,7,102.6,16.27,610,3,750.0,1844.04,21,127.5,0.24,0,1,0,0,0,600.05,0.09,0
37.41,10,2,4,8.73,6.36,438,1,481.0,2105.22,32,36.39,0.03,0,2,0,0,0,55.17,0.02,0
50.2,9,1,7,228.9,2.77,775,1,724.0,2557.07,17,28.12,0.76,1,2,0,0,0,193.38,0.02,0
554.76,14,0,6,30.2,5.25,951,1,836.0,7525.02,37,764.7,-0.27,0,3,1,0,0,1956.65,0.07,0
212.05,10,5,3,82.02,11.1,611,1,652.0,5808.75,27,249.59,-0.15,1,1,1,0,0,440.14,0.04,0
96.69,14,2,8,338.09,27.29,610,1,597.0,2503.02,24,64.85,0.48,1,3,0,0,0,453.56,0.04,0
100.0,21,1,11,8.2,77.71,133,3,542.0,,11,18.89,4.08,0,3,0,1,1,722.91,0.01,1
159.49,11,1,4,221.44,3.8,299,3,574.0,1500.0,26,161.59,-0.01,0,3,0,0,0,286.55,0.11,0
13.29,13,5,5,115.65,1.21,471,2,632.0,4112.03,23,10.54,0.24,1,2,0,0,0,29.12,0.0,0
69.42,10,6,1,108.67,0.58,986,1,730.0,1500.0,25,73.38,-0.05,0,1,0,0,0,50.38,0.05,0
491.89,15,3,5,231.76,7.01,330,1,569.0,2712.41,23,344.41,0.43,0,1,0,0,0,1450.91,0.18,0
847.57,10,0,9,7.33,80.52,33,3,509.0,5313.96,11,215.65,2.92,0,3,4,0,0,8762.27,0.16,1
250.11,8,6,2,108.6,0.32,723,2,841.0,1891.0,22,180.63,0.38,1,0,0,0,0,264.6,0.13,0
140.3,4,0,8,37.71,219.89,195,2,574.0,8385.89,16,33.12,3.14,0,1,2,1,0,968.12,0.02,1
185.76,16,1,2,63.43,33.96,593,1,735.0,3465.84,26,278.46,-0.33,0,0,0,0,0,257.29,0.05,0
49.56,8,0,6,104.2,0.92,1048,2,,2240.22,22,37.95,0.3,1,0,1,0,0,183.79,0.02,0
100.44,14,0,5,210.55,26.74,257,3,537.0,7385.19,19,75.84,0.32,1,3,0,1,0,151.82,0.01,0
133.9,13,2,2,13.28,0.15,929,2,,5652.36,22,186.4,-0.28,1,2,0,0,1,100.0,0.02,0
43.67,13,3,4,44.28,1.62,520,2,735.0,4741.93,24,42.91,0.02,0,0,1,1,0,57.43,0.01,0
94.41,9,1,2,30.77,0.7,557,3,727.0,5834.44,23,73.58,0.28,1,0,0,0,0,93.33,0.02,0
290.22,8,2,5,104.58,1.85,573,1,660.0,2304.18,29,366.95,-0.21,0,2,1,0,0,484.58,0.13,0
32.26,10,0,2,198.77,0.42,589,3,797.0,1500.0,26,44.62,-0.27,0,0,0,0,0,27.22,0.02,0
163.17,7,6,3,28.38,9.4,657,1,,1737.32,25,115.67,0.41,0,0,0,0,1,188.51,0.09,0
115.04,11,3,5,363.78,6.64,836,1,702.0,1500.0,27,71.18,0.61,1,0,1,0,0,430.59,0.08,0
581.33,2,5,5,0.74,6.59,54,4,609.0,1000.0,10,201.6,1.87,0,0,1,0,1,2163.87,0.58,1
21.08,13,0,5,19.53,1.69,457,2,731.0,2448.07,22,24.38,-0.13,0,1,0,0,0,48.07,0.01,0
84.88,12,0,2,9.67,5.42,266,2,723.0,3139.51,35,71.24,0.19,0,1,1,0,0,53.23,0.03,0
212.34,15,1,5,246.83,4.96,1322,2,594.0,3417.23,28,159.41,0.33,0,1,0,0,1,425.85,0.06,0
100.12,15,4,4,126.94,3.28,1196,1,597.0,4388.45,35,53.84,0.84,0,0,0,0,0,193.58,0.02,0
123.61,10,2,4,326.66,7.34,317,2,564.0,3599.6,35,153.21,-0.19,1,2,0,0,0,380.53,0.03,0
53.36,10,1,1,41.01,12.1,733,2,628.0,27203.42,30,71.88,-0.25,0,0,0,0,0,26.55,0.0,0
631.54,9,1,5,18.12,20.03,412,3,300.0,9282.81,10,233.53,1.7,0,1,5,0,1,3698.57,0.07,1
69.07,18,1,4,167.44,1.84,646,1,681.0,2273.29,18,62.31,0.11,1,0,0,0,0,176.21,0.03,0
20.7,21,0,3,5.28,0.8,693,1,711.0,2224.76,16,18.73,0.1,0,0,0,0,0,28.96,0.01,0
194.99,12,5,6,34.64,1.84,388,2,582.0,4501.92,18,221.27,-0.12,0,0,0,0,0,411.49,0.04,0
79.82,15,0,2,177.45,0.62,705,2,646.0,6826.01,28,66.17,0.2,1,1,1,0,0,100.86,0.01,0
47.36,17,3,10,73.53,19.38,751,2,,3363.88,23,69.86,-0.32,0,2,1,0,0,279.54,0.01,0
8.48,11,4,3,133.44,5.09,528,2,719.0,5045.27,36,8.98,-0.05,1,1,0,0,0,14.6,0.0,0
101.8,12,3,1,33.98,0.23,598,1,526.0,8247.99,15,98.44,0.03,0,0,0,0,0,61.72,0.01,0
959.83,4,0,9,11.09,7.31,65,4,465.0,1382.69,10,118.87,7.02,0,3,2,0,1,4776.1,0.69,1
310.16,9,4,4,53.46,1.29,489,1,662.0,5264.48,27,220.34,0.41,0,0,1,0,0,473.37,0.06,0
52.33,19,4,2,417.34,11.29,363,3,766.0,4481.2,18,56.76,-0.08,0,2,0,0,0,56.68,0.01,0
78.82,8,1,2,70.55,14.71,427,1,658.0,3645.28,24,39.68,0.96,1,0,0,0,0,108.92,0.02,0
32.4,6,6,1,10.6,11.11,585,1,687.0,5696.54,27,33.4,-0.03,0,0,1,1,0,14.41,0.01,0
437.89,21,0,7,4.35,4.61,678,1,708.0,11283.11,20,353.28,0.24,0,1,0,0,0,1866.46,0.04,0
469.05,7,4,3,205.39,2.56,628,2,682.0,5291.43,27,379.63,0.23,1,2,0,0,0,1101.82,0.09,0
14.7,9,4,4,130.92,17.83,690,1,664.0,5696.18,25,15.82,-0.07,0,0,1,0,0,28.23,0.0,0
152.71,13,4,4,205.7,2.59,624,1,572.0,2302.13,22,109.18,0.4,0,2,0,1,0,329.37,0.07,0
149.42,10,6,4,48.17,16.04,480,1,540.0,3944.42,26,86.13,0.73,0,3,0,0,0,475.77,0.04,0
374.68,13,3,3,115.06,11.52,499,1,,5602.62,16,219.32,0.71,1,0,1,0,1,525.85,0.07,0
83.97,14,0,1,285.78,9.95,302,1,711.0,3341.43,29,48.53,0.72,1,2,1,0,1,50.32,0.03,0
85.24,8,4,4,166.61,1.23,416,1,711.0,6009.19,27,90.64,-0.06,0,2,0,0,0,191.29,0.01,0
128.35,8,6,5,190.22,4.87,334,1,570.0,1500.0,29,155.94,-0.18,1,2,0,0,0,347.07,0.09,0
55.58,14,0,2,22.6,,878,3,599.0,1587.82,20,34.23,0.61,1,0,0,0,0,71.18,0.03,0
255.44,9,1,5,70.19,7.18,214,2,709.0,4087.56,25,226.22,0.13,1,2,0,0,0,649.08,0.06,0
46.49,13,2,6,93.37,9.25,420,1,680.0,4306.63,26,49.53,-0.06,0,2,0,0,1,90.74,0.01,0
252.52,14,1,1,317.84,23.02,766,1,719.0,3248.69,33,223.49,0.13,0,3,0,1,0,167.69,0.08,0
114.75,12,5,6,264.54,5.95,1096,1,724.0,1727.53,27,144.72,-0.21,1,1,0,0,0,316.27,0.07,0
315.13,11,4,2,90.02,4.16,1056,2,610.0,3148.41,34,227.17,0.39,0,2,0,0,0,382.1,0.1,0
19.56,18,4,3,159.56,5.6,1204,2,571.0,9653.48,30,27.19,-0.27,1,0,0,0,0,38.11,0.0,0
293.13,14,3,3,102.66,3.76,462,1,723.0,,16,333.09,-0.12,0,1,0,0,0,376.8,0.05,0
980.6,1,2,9,13.32,50.3,22,3,665.0,1541.21,17,281.03,2.48,0,2,1,0,0,6881.65,0.64,1
351.66,16,1,3,286.5,3.35,226,2,661.0,4106.66,28,343.19,0.02,1,0,1,0,0,575.29,0.09,0
24.46,14,0,3,25.92,13.11,254,3,630.0,3186.35,29,19.71,0.23,0,2,0,0,0,38.7,0.01,0
207.4,14,0,3,132.95,0.7,515,1,715.0,4754.38,29,197.75,0.05,1,0,1,0,0,188.33,0.04,0
120.09,11,5,3,164.2,1.7,457,1,718.0,7458.21,28,97.85,0.22,0,0,0,0,0,229.08,0.02,0
1456.87,11,1,1,246.03,3.33,852,3,694.0,2857.29,32,1798.41,-0.19,1,2,0,0,0,907.6,0.51,0
6286.6,13,4,3,8.33,27.64,117,3,393.0,5152.12,21,2227.35,1.82,0,3,3,1,1,15426.74,1.22,1
161.92,13,4,4,96.46,0.83,501,2,701.0,1733.72,19,197.35,-0.18,1,1,0,0,0,458.03,0.09,0
162.26,15,4,2,176.45,15.04,192,2,695.0,8472.41,32,193.35,-0.16,0,2,0,0,1,106.87,0.02,0
223.41,10,0,2,77.12,5.47,661,3,744.0,2949.37,31,328.05,-0.32,0,0,0,0,0,332.66,0.08,0
128.03,14,1,6,117.12,1.95,950,1,584.0,3305.77,19,162.82,-0.21,1,0,0,0,0,272.9,0.04,0
245.11,13,3,3,30.68,3.27,312,1,590.0,2887.58,18,204.09,0.2,0,0,0,0,0,282.74,0.08,0
109.15,21,2,5,114.75,1.67,534,1,712.0,7236.46,30,162.25,-0.33,1,0,1,0,0,298.38,0.02,0
737.12,10,6,4,23.79,1.47,947,2,670.0,9492.36,18,791.2,-0.07,1,3,0,0,0,1965.74,0.08,0
133.13,9,3,5,27.85,4.26,1093,3,700.0,6378.09,30,188.79,-0.29,0,2,0,0,0,267.43,0.02,0
98.9,15,2,4,116.53,14.37,1011,1,704.0,2530.99,27,118.32,-0.16,1,0,1,0,0,251.02,0.04,0
53.79,14,0,2,86.96,2.84,856,1,674.0,2734.4,29,53.38,0.01,1,3,0,0,0,52.22,0.02,0
5.0,12,4,5,53.11,24.5,557,1,805.0,1500.0,23,6.84,-0.23,0,2,0,0,0,18.15,0.0,0
663.27,15,0,13,0.5,8.42,165,2,505.0,2856.24,7,161.95,3.08,0,2,3,1,0,6708.34,0.23,1
91.14,11,6,2,50.65,4.21,148,1,760.0,,23,55.04,0.64,0,0,0,0,0,85.45,0.05,0
27.18,10,2,1,127.04,7.39,283,1,567.0,2451.83,19,23.37,0.16,0,0,1,0,0,12.1,0.01,0
10.77,10,6,2,18.46,25.21,903,2,759.0,1500.0,19,15.95,-0.31,1,2,1,0,0,13.23,0.01,0
5.25,9,2,6,,3.16,513,1,652.0,1500.0,27,3.12,0.52,0,1,0,0,0,24.17,0.0,0
216.51,13,0,1,341.53,2.77,256,1,615.0,6706.86,20,309.51,-0.3,0,0,0,0,0,169.21,0.03,0
80.29,13,2,6,3.47,14.26,461,2,724.0,5324.11,20,84.26,-0.05,1,0,0,0,0,217.38,0.02,0
120.34,8,0,4,303.78,7.15,565,3,651.0,3326.14,24,174.24,-0.31,0,1,0,0,0,324.59,0.04,0
191.65,15,3,2,68.78,5.5,642,1,679.0,2346.76,35,264.94,-0.28,1,1,0,0,0,210.6,0.08,0
545.12,13,4,3,139.79,13.35,308,2,577.0,,27,801.51,-0.32,0,3,0,0,0,984.92,0.29,0
166.72,14,0,6,204.69,7.0,512,3,688.0,2572.96,26,155.67,0.07,1,1,0,0,0,568.73,0.06,0
122.39,8,2,5,131.08,2.58,1313,1,,5179.07,31,80.24,0.52,0,1,0,0,0,356.68,0.02,0
397.1,12,3,3,214.29,4.57,650,2,708.0,4325.83,21,270.19,0.47,1,2,0,0,0,701.29,0.09,0
176.87,12,3,1,2.24,7.93,319,2,780.0,3180.22,15,182.03,-0.03,1,1,0,1,0,129.96,0.06,0
164.82,16,1,2,128.08,0.52,660,2,519.0,5732.44,29,217.04,-0.24,1,1,0,0,1,198.65,0.03,0
93.02,10,3,2,147.01,0.59,267,1,699.0,6134.68,28,79.58,0.17,0,0,0,0,0,58.63,0.02,0
141.55,7,4,4,50.72,10.27,300,2,534.0,3815.51,24,124.91,0.13,0,1,0,0,0,267.17,0.04,0
523.29,12,3,5,91.68,8.25,415,1,661.0,3518.09,29,741.73,-0.29,0,3,0,0,0,1115.08,0.15,0
468.43,11,0,4,51.3,0.3,398,1,645.0,4327.99,27,265.63,0.76,0,1,0,0,0,595.92,0.11,0
125.59,10,4,1,101.83,1.32,272,1,568.0,4185.69,26,115.01,0.09,1,0,0,0,0,80.03,0.03,0
5.17,12,0,4,447.56,7.23,302,2,753.0,1536.31,29,5.29,-0.02,1,0,1,0,0,10.78,0.0,0
8.57,13,1,2,154.25,1.8,470,2,582.0,2324.78,25,9.96,-0.13,1,0,0,1,0,5.78,0.0,0
867.94,10,4,5,11.84,5.5,401,1,684.0,8292.59,25,815.2,0.06,1,1,0,0,0,1620.83,0.1,0
31.75,8,4,1,83.21,0.11,553,1,777.0,2776.07,35,47.14,-0.32,1,3,0,0,0,12.32,0.01,0
286.69,7,4,3,14.52,24.78,144,3,519.0,2598.48,24,282.47,0.01,1,1,0,0,0,323.92,0.11,0
2613.65,23,0,4,8.27,,324,5,516.0,2710.71,14,614.63,3.25,0,1,3,0,1,6762.67,0.96,1
5.19,11,1,4,58.57,3.95,462,2,643.0,3777.47,22,2.66,0.69,0,0,1,0,0,9.72,0.0,0
19.37,15,2,5,68.42,6.53,463,2,711.0,1500.0,19,23.89,-0.18,0,0,0,0,0,37.03,0.01,0
142.26,17,4,2,13.08,6.35,691,1,699.0,2955.79,23,88.1,0.61,0,1,1,0,0,165.55,0.05,0
33.81,11,1,2,359.83,7.58,512,2,655.0,3756.61,23,18.9,0.75,1,3,0,0,0,42.67,0.01,0
402.55,0,5,8,17.83,51.43,132,5,420.0,5828.61,10,160.36,1.5,0,0,0,1,0,2810.5,0.07,1
203.36,9,2,4,201.24,6.39,964,2,501.0,3322.52,28,304.61,-0.33,1,1,0,0,0,289.2,0.06,0
146.21,17,4,0,195.25,9.45,214,3,600.0,2408.0,27,137.29,0.06,1,2,0,0,0,0.0,0.06,0
21.27,9,3,4,48.98,8.39,812,3,624.0,3794.82,20,15.61,0.34,1,1,0,0,0,26.58,0.01,0
18.47,16,0,3,14.05,2.05,443,1,700.0,1772.38,29,12.49,0.44,1,2,1,0,0,32.99,0.01,0
664.19,12,3,4,150.17,18.54,535,2,536.0,2707.01,33,504.11,0.32,0,0,0,0,0,1990.65,0.25,0
301.13,12,3,2,152.95,9.97,474,1,850.0,1577.47,19,166.53,0.8,0,1,0,0,0,273.92,0.19,0
159.21,15,0,6,,16.16,283,3,672.0,6157.73,32,125.47,0.27,1,0,0,0,0,732.52,0.03,0
81.95,9,3,4,41.95,3.85,703,1,641.0,11353.1,26,111.08,-0.26,1,1,0,0,0,197.23,0.01,0
25.63,11,5,2,52.0,1.32,454,3,819.0,3777.52,21,19.95,0.27,1,2,0,0,0,35.32,0.01,0
208.69,17,1,3,22.78,7.83,1153,1,622.0,5280.38,24,305.5,-0.32,0,2,0,0,0,413.08,0.04,0
215.88,17,6,5,163.27,1.03,1237,1,652.0,2637.47,26,168.09,0.28,0,0,0,0,0,746.26,0.08,0
90.95,10,3,7,55.09,9.22,1084,1,654.0,8822.11,33,76.98,0.18,1,2,1,0,0,388.38,0.01,0
123.5,10,4,2,148.91,1.4,535,2,702.0,2509.32,24,121.71,0.01,0,0,0,0,0,96.2,0.05,0
121.35,9,5,3,201.19,6.42,892,1,562.0,3906.82,21,107.43,0.13,0,1,1,0,0,232.48,0.03,0
20.51,14,6,2,763.52,21.27,792,1,732.0,2436.46,27,12.78,0.56,0,0,0,0,0,22.84,0.01,0
85.87,8,1,6,,17.67,155,2,737.0,2175.76,20,92.11,-0.07,1,3,1,0,1,235.42,0.04,0
25.42,15,3,7,112.44,2.06,671,1,686.0,3591.47,31,34.72,-0.26,1,0,0,0,0,67.46,0.01,0
2045.39,4,6,10,3.43,41.81,183,4,300.0,2090.8,12,781.96,1.61,0,0,2,1,1,13996.41,0.98,1
221.34,15,2,4,12.15,1.74,913,1,785.0,3932.38,21,249.28,-0.11,1,3,0,0,0,429.75,0.06,0
22.61,11,4,3,270.53,13.3,202,2,727.0,4462.76,27,12.61,0.74,1,2,0,0,0,30.52,0.01,0
165.75,12,1,3,206.02,8.05,727,1,649.0,2335.98,31,118.95,0.39,1,1,0,0,0,192.76,0.07,0
1895.54,13,3,4,34.13,1.39,690,2,568.0,3212.21,30,2577.62,-0.26,0,1,0,0,0,5542.8,0.59,0
35.53,8,2,4,83.68,1.81,751,1,557.0,4563.08,26,44.51,-0.2,1,0,0,0,0,63.11,0.01,0
1057.4,12,4,4,7.75,7.28,611,1,684.0,4676.21,29,630.17,0.68,1,0,1,0,0,3265.38,0.23,0
23.19,13,5,3,116.48,12.61,722,1,631.0,3726.84,21,16.56,0.38,0,0,0,0,0,35.49,0.01,0
59.54,11,5,1,53.34,30.93,388,2,708.0,1654.46,33,82.99,-0.28,0,0,0,0,0,22.94,0.04,0
26.35,10,1,3,101.72,4.92,590,1,798.0,2585.34,24,14.56,0.76,1,1,0,0,0,55.54,0.01,0
43.56,9,0,0,150.02,6.12,488,1,718.0,3975.62,30,33.0,0.31,1,0,0,0,0,0.0,0.01,0
18.64,21,6,2,9.36,37.22,615,2,706.0,,23,17.55,0.06,1,1,1,0,0,27.26,0.01,0
50.55,11,5,5,143.75,1.41,292,1,464.0,1500.0,31,29.96,0.66,1,0,1,0,0,143.68,0.03,0
61.51,9,4,2,114.15,19.36,961,1,,1605.89,23,64.25,-0.04,1,0,0,0,0,81.33,0.04,0
626.13,13,6,6,90.43,13.22,523,2,751.0,3396.39,30,752.92,-0.17,1,0,0,0,1,1973.8,0.18,0
188.33,14,2,3,9.81,14.22,546,2,693.0,3217.8,16,171.03,0.1,1,0,0,0,0,346.66,0.06,0
673.53,16,1,4,42.65,3.15,595,1,546.0,7079.34,26,617.88,0.09,0,0,0,1,0,1101.21,0.1,0
281.9,14,2,7,112.02,13.32,639,2,653.0,1936.82,21,234.75,0.2,0,1,0,0,0,1494.16,0.15,0
701.16,14,3,4,192.37,8.18,384,1,745.0,9766.16,23,497.88,0.41,1,1,0,0,0,1173.74,0.07,0
14.33,12,5,4,77.12,16.88,413,2,697.0,6091.98,27,9.98,0.4,1,1,0,0,0,19.83,0.0,0
51.85,8,1,6,137.61,1.54,526,2,735.0,3587.6,27,39.3,0.31,0,1,0,0,0,144.59,0.01,0
218.67,11,2,1,58.92,8.97,486,2,741.0,3171.56,26,228.14,-0.04,1,0,0,0,0,68.0,0.07,0
61.48,13,5,5,132.85,8.31,990,3,573.0,5198.97,25,46.03,0.33,1,2,0,0,0,100.85,0.01,0
376.9,17,4,3,53.34,7.48,666,1,697.0,2461.02,21,515.57,-0.27,0,0,0,0,0,720.51,0.15,0
415.56,10,5,0,78.77,11.83,426,2,595.0,11238.49,18,610.57,-0.32,1,0,0,0,0,0.0,0.04,0
152.98,13,1,6,215.42,19.3,263,2,666.0,3884.19,26,158.52,-0.03,0,0,0,0,0,733.04,0.04,0
13.67,10,1,2,48.88,41.97,756,3,571.0,2164.35,19,8.57,0.53,1,1,0,0,0,12.79,0.01,0
199.92,11,0,4,25.84,8.27,499,1,670.0,2684.17,25,114.16,0.74,1,2,0,0,0,619.5,0.07,0
60.21,21,4,5,38.35,8.16,591,1,534.0,6173.63,26,88.27,-0.31,0,0,0,0,0,120.54,0.01,0
430.49,4,4,7,0.89,25.7,95,2,577.0,2623.67,8,132.42,2.23,0,3,2,0,0,2089.53,0.16,1
116.2,16,5,0,37.0,7.35,721,1,613.0,5071.3,22,159.89,-0.27,1,2,1,0,0,0.0,0.02,0
75.01,12,2,2,161.45,1.42,691,1,685.0,2077.26,27,80.79,-0.07,0,0,0,0,0,114.16,0.04,0
412.22,16,0,4,120.48,18.09,344,1,724.0,4352.18,22,434.99,-0.05,0,2,1,0,0,861.49,0.09,0
59.88,8,2,4,85.18,0.52,1169,2,621.0,4305.77,32,67.66,-0.11,1,1,1,0,0,123.83,0.01,0
106.19,22,3,4,6.21,1.77,529,3,766.0,6325.06,27,105.88,0.0,1,0,0,0,0,192.11,0.02,0
83.88,16,2,1,22.2,1.67,73,3,664.0,2680.81,22,75.61,0.11,1,1,0,0,0,60.62,0.03,0
184.81,12,5,4,151.35,1.17,632,1,702.0,3418.86,23,211.41,-0.13,0,0,0,0,0,432.1,0.05,0
19.21,11,2,1,45.21,1.8,508,3,615.0,2045.01,15,15.37,0.23,0,3,0,0,0,15.21,0.01,0
8.02,12,2,2,45.75,5.26,453,1,699.0,,21,9.88,-0.17,0,3,1,0,0,12.39,0.0,0
822.88,1,0,7,13.5,21.84,255,3,377.0,2086.41,8,300.6,1.73,0,2,1,1,1,6028.54,0.39,1
733.04,2,5,5,11.78,240.81,64,4,493.0,2981.8,13,263.77,1.77,1,3,2,1,1,3452.27,0.25,1
380.18,13,4,3,93.44,3.4,515,1,650.0,4517.19,24,235.2,0.61,0,0,0,0,0,556.55,0.08,0
164.56,11,5,3,81.59,3.58,500,2,636.0,3412.78,14,97.46,0.68,1,0,0,0,0,253.97,0.05,0
143.67,7,4,5,130.32,0.78,685,1,605.0,3048.75,26,72.62,0.97,0,1,0,0,0,464.74,0.05,0
144.43,8,1,2,37.32,5.43,474,1,608.0,3533.4,22,129.09,0.12,0,0,1,0,0,141.18,0.04,0
13.48,10,4,3,9.66,2.93,269,1,627.0,5021.55,24,17.36,-0.21,0,0,1,1,0,14.38,0.0,0
34.65,14,1,4,82.4,34.49,716,1,644.0,7264.93,25,35.0,-0.01,1,1,1,0,0,108.58,0.0,0
5.0,18,2,1,34.94,28.66,827,1,682.0,1500.0,23,2.53,0.7,0,0,0,0,1,3.89,0.0,0
9.36,8,2,2,174.49,,716,2,620.0,3236.06,19,7.73,0.19,1,1,0,0,0,8.5,0.0,0
112.37,11,5,3,32.64,12.77,511,1,727.0,4762.37,25,105.53,0.06,0,0,0,0,0,151.03,0.02,0
99.44,15,2,4,37.74,20.51,1000,2,553.0,2355.99,28,73.34,0.35,1,2,0,0,0,133.11,0.04,0
352.76,10,3,2,9.77,7.11,222,1,754.0,,24,441.38,-0.2,1,0,0,0,0,253.1,0.07,0
103.34,17,5,0,13.48,26.01,678,2,632.0,3402.2,21,150.82,-0.31,1,0,0,0,1,0.0,0.03,0
114.76,11,4,3,85.64,1.93,665,1,728.0,2389.71,25,58.92,0.93,1,0,0,0,0,273.51,0.05,0
100.0,15,6,5,24.96,33.51,103,5,637.0,2608.08,7,10.96,7.44,0,3,2,1,0,350.28,0.04,1
5321.48,14,4,11,27.21,5.34,180,5,514.0,5090.73,11,1520.59,2.5,1,3,3,1,0,68223.58,1.05,1
136.62,16,0,4,77.04,4.15,513,1,671.0,3822.28,13,179.99,-0.24,1,0,1,0,0,263.37,0.04,0
1638.34,1,0,9,32.15,5.0,87,3,561.0,6338.86,10,626.81,1.61,0,3,3,0,1,7840.92,0.26,1
732.77,15,5,2,403.44,1.46,612,1,656.0,1500.0,23,763.02,-0.04,1,2,0,0,0,808.01,0.49,0
605.68,8,0,4,24.96,14.36,537,2,654.0,1735.47,35,718.44,-0.16,0,1,0,0,0,1033.35,0.35,0
12.11,12,5,7,65.67,1.51,321,1,651.0,1500.0,31,14.78,-0.17,1,1,0,0,0,49.08,0.01,0
35.82,10,3,2,107.2,3.35,392,2,714.0,1921.77,28,19.13,0.83,1,1,0,0,0,31.06,0.02,0
83.12,9,2,3,392.03,18.51,464,2,649.0,5441.7,19,86.95,-0.04,1,2,1,0,0,89.2,0.02,0
185.4,15,0,4,90.12,21.83,428,2,564.0,3647.7,29,274.77,-0.32,0,1,0,0,0,526.36,0.05,0
29.66,10,2,2,194.72,3.37,1009,1,751.0,6827.78,29,40.27,-0.26,0,2,1,0,0,45.35,0.0,0
72.89,10,0,2,7.37,12.94,542,3,,1588.16,24,53.81,0.35,1,0,0,0,0,97.55,0.05,0
9.76,12,3,2,160.49,6.64,379,2,788.0,2262.24,24,9.04,0.07,1,2,0,0,0,9.58,0.0,0
547.89,9,2,2,179.9,5.44,732,3,692.0,5669.44,31,435.6,0.26,1,0,0,0,0,447.85,0.1,0
115.87,13,2,5,71.48,2.9,528,1,521.0,1592.87,32,60.52,0.9,1,0,0,0,0,339.51,0.07,0
164.57,14,5,1,110.5,10.61,474,2,690.0,3409.81,23,196.65,-0.16,1,0,0,0,0,110.43,0.05,0
308.01,13,2,3,,5.21,662,2,668.0,4370.01,20,326.9,-0.06,1,2,0,0,0,642.89,0.07,0
363.36,6,1,4,122.28,0.42,340,1,547.0,3827.9,23,210.84,0.72,1,1,1,0,0,1101.56,0.09,0
511.94,9,2,1,41.18,1.63,611,2,665.0,5348.08,25,641.21,-0.2,1,3,0,0,0,181.69,0.1,0
10.07,12,6,4,85.82,20.46,499,2,684.0,9699.31,18,6.23,0.53,1,1,0,0,0,15.41,0.0,0
89.72,14,3,1,64.48,2.58,440,3,707.0,1854.79,25,70.06,0.28,1,1,0,0,1,33.05,0.05,0
24.97,15,3,2,8.56,9.19,270,1,591.0,6001.15,21,27.83,-0.1,1,0,0,0,0,15.12,0.0,0
65.64,14,0,3,72.3,9.1,372,2,696.0,1865.34,26,83.39,-0.21,1,2,0,0,0,65.53,0.04,0
41.34,12,3,3,9.47,2.08,742,1,745.0,11308.98,17,54.56,-0.24,1,1,1,0,0,68.43,0.0,0
34.07,15,1,4,86.1,0.53,424,3,562.0,4209.29,22,18.05,0.84,1,0,0,0,0,60.63,0.01,0
